timestamp,heart_rate_bpm,steps,sleeping,spo2_pct,calories_burned,hour,day_of_week,is_weekend,is_anomaly,anomaly_type
2024-01-01 00:00:00,62.3,0,1,97.4,3.32,0,0,0,0,normal
2024-01-01 00:05:00,65.1,0,1,97.9,2.98,0,0,0,0,normal
2024-01-01 00:10:00,58.1,0,1,96.5,2.09,0,0,0,0,normal
2024-01-01 00:15:00,54.0,0,1,96.8,3.45,0,0,0,0,normal
2024-01-01 00:20:00,56.4,0,1,97.6,2.22,0,0,0,0,normal
2024-01-01 00:25:00,58.4,0,1,97.4,2.48,0,0,0,0,normal
2024-01-01 00:30:00,58.4,0,1,96.9,3.17,0,0,0,0,normal
2024-01-01 00:35:00,60.5,0,1,97.6,2.99,0,0,0,0,normal
2024-01-01 00:40:00,53.5,0,1,98.0,2.98,0,0,0,0,normal
2024-01-01 00:45:00,56.7,0,1,97.8,3.28,0,0,0,0,normal
2024-01-01 00:50:00,56.1,0,1,97.3,2.9,0,0,0,0,normal
2024-01-01 00:55:00,55.6,0,1,96.9,3.08,0,0,0,0,normal
2024-01-01 01:00:00,61.8,0,1,97.2,3.15,1,0,0,0,normal
2024-01-01 01:05:00,47.1,0,1,97.9,2.42,1,0,0,0,normal
2024-01-01 01:10:00,56.3,0,1,97.7,3.6,1,0,0,0,normal
2024-01-01 01:15:00,55.3,0,1,97.2,3.2,1,0,0,0,normal
2024-01-01 01:20:00,57.9,0,1,98.0,2.57,1,0,0,0,normal
2024-01-01 01:25:00,58.8,0,1,97.6,2.96,1,0,0,0,normal
2024-01-01 01:30:00,57.2,0,1,97.1,2.75,1,0,0,0,normal
2024-01-01 01:35:00,59.0,0,1,97.5,1.99,1,0,0,0,normal
2024-01-01 01:40:00,58.7,0,1,98.7,2.82,1,0,0,0,normal
2024-01-01 01:45:00,61.2,0,1,97.9,3.52,1,0,0,0,normal
2024-01-01 01:50:00,59.5,0,1,98.6,2.52,1,0,0,0,normal
2024-01-01 01:55:00,52.5,0,1,97.5,2.06,1,0,0,0,normal
2024-01-01 02:00:00,53.0,0,1,97.3,3.15,2,0,0,0,normal
2024-01-01 02:05:00,52.7,0,1,97.6,2.71,2,0,0,0,normal
2024-01-01 02:10:00,60.6,0,1,97.6,3.13,2,0,0,0,normal
2024-01-01 02:15:00,59.9,0,1,97.1,3.89,2,0,0,0,normal
2024-01-01 02:20:00,52.9,0,1,97.9,3.28,2,0,0,0,normal
2024-01-01 02:25:00,60.2,0,1,98.4,2.94,2,0,0,0,normal
2024-01-01 02:30:00,58.9,0,1,97.7,3.02,2,0,0,0,normal
2024-01-01 02:35:00,55.7,0,1,98.9,3.16,2,0,0,0,normal
2024-01-01 02:40:00,54.8,0,1,97.7,2.57,2,0,0,0,normal
2024-01-01 02:45:00,57.6,0,1,97.5,2.57,2,0,0,0,normal
2024-01-01 02:50:00,59.4,0,1,96.9,3.03,2,0,0,0,normal
2024-01-01 02:55:00,59.1,0,1,96.9,3.09,2,0,0,0,normal
2024-01-01 03:00:00,53.3,0,1,97.0,2.88,3,0,0,0,normal
2024-01-01 03:05:00,61.8,0,1,99.4,3.29,3,0,0,0,normal
2024-01-01 03:10:00,56.4,0,1,97.9,2.45,3,0,0,0,normal
2024-01-01 03:15:00,64.8,0,1,96.6,3.71,3,0,0,0,normal
2024-01-01 03:20:00,54.5,0,1,98.0,2.84,3,0,0,0,normal
2024-01-01 03:25:00,54.1,0,1,97.6,2.78,3,0,0,0,normal
2024-01-01 03:30:00,51.2,0,1,97.6,2.16,3,0,0,0,normal
2024-01-01 03:35:00,59.5,0,1,97.9,2.4,3,0,0,0,normal
2024-01-01 03:40:00,66.4,0,1,97.7,2.62,3,0,0,0,normal
2024-01-01 03:45:00,65.8,0,1,98.0,2.56,3,0,0,0,normal
2024-01-01 03:50:00,59.7,0,1,97.9,2.53,3,0,0,0,normal
2024-01-01 03:55:00,54.8,0,1,96.9,3.67,3,0,0,0,normal
2024-01-01 04:00:00,63.8,0,1,96.8,3.77,4,0,0,0,normal
2024-01-01 04:05:00,58.2,0,1,97.2,2.97,4,0,0,0,normal
2024-01-01 04:10:00,61.4,0,1,96.9,4.28,4,0,0,0,normal
2024-01-01 04:15:00,58.4,0,1,97.2,2.85,4,0,0,0,normal
2024-01-01 04:20:00,54.6,0,1,97.9,2.96,4,0,0,0,normal
2024-01-01 04:25:00,60.4,0,1,97.8,2.65,4,0,0,0,normal
2024-01-01 04:30:00,57.0,0,1,97.6,3.53,4,0,0,0,normal
2024-01-01 04:35:00,58.3,0,1,98.0,3.27,4,0,0,0,normal
2024-01-01 04:40:00,62.8,0,1,97.5,3.5,4,0,0,0,normal
2024-01-01 04:45:00,60.2,0,1,97.4,3.01,4,0,0,0,normal
2024-01-01 04:50:00,55.2,0,1,96.9,3.28,4,0,0,0,normal
2024-01-01 04:55:00,56.9,0,1,97.1,2.94,4,0,0,0,normal
2024-01-01 05:00:00,53.9,0,1,97.3,2.94,5,0,0,0,normal
